run,pass,cooldown_ms,variant,e2e_ns,rcm_ns
3,1,600,MaybeUninit,36411.0,19652.4
3,1,600,inline-always,37258.0,20310.4
3,1,600,asm-opt,36874.8,19854.6
3,2,600,ref+ref,37903.0,20660.2
3,2,600,ref+owned,36502.6,19929.5
3,2,600,MaybeUninit,37667.8,20318.7
3,2,600,inline-always,37472.6,20420.8
3,2,600,asm-opt,37542.7,20208.0
3,3,600,ref+ref,36218.3,19750.1
3,3,600,ref+owned,35825.3,19561.3
3,3,600,MaybeUninit,34097.4,18421.4
3,3,600,inline-always,35147.8,19172.2
3,3,600,asm-opt,35601.5,19180.3
3,4,600,ref+ref,36462.6,19891.4
3,4,600,ref+owned,37374.8,20396.7
3,4,600,MaybeUninit,34775.3,18777.6
3,4,600,inline-always,36074.9,19667.3
3,4,600,asm-opt,34475.1,18583.3
3,5,600,ref+ref,35189.3,19185.6
3,5,600,ref+owned,35664.1,19474.3
3,5,600,MaybeUninit,36104.7,19499.4
3,5,600,inline-always,36383.1,19854.0
3,5,600,asm-opt,33706.1,18182.1
3,6,600,ref+ref,35539.6,19391.2
3,6,600,ref+owned,36675.4,20029.0
3,6,600,MaybeUninit,34782.3,18786.7
3,6,600,inline-always,35800.2,19521.9
3,6,600,asm-opt,35063.7,18892.8
3,7,600,ref+ref,34855.9,19018.1
3,7,600,ref+owned,36395.6,19876.4
3,7,600,MaybeUninit,34735.2,18757.7
3,7,600,inline-always,34491.6,18810.5
3,7,600,asm-opt,34432.4,18568.4
3,8,600,ref+ref,35946.9,19609.6
3,8,600,ref+owned,36052.3,19683.6
3,8,600,MaybeUninit,35879.2,19383.6
3,8,600,inline-always,33104.0,18063.8
3,8,600,asm-opt,33605.2,18134.2
3,9,600,ref+ref,35206.4,19214.3
3,9,600,ref+owned,36103.0,19719.0
3,9,600,MaybeUninit,36217.5,19553.1
3,9,600,inline-always,34857.1,19017.9
3,9,600,asm-opt,33731.0,18198.7
3,10,600,ref+ref,37592.9,20754.1
3,10,600,ref+owned,36090.5,19717.5
3,10,600,MaybeUninit,34733.0,18775.8
3,10,600,inline-always,36362.4,19841.0
3,10,600,asm-opt,35154.9,18954.6
4,1,0,ref+ref,30544.4,16689.0
4,1,0,ref+owned,30775.9,16844.9
4,1,0,MaybeUninit,30394.1,16455.1
4,1,0,inline-always,30652.0,16755.7
4,1,0,asm-opt,30275.4,16363.2
4,2,0,ref+ref,30586.6,16715.2
4,2,0,ref+owned,30736.4,16822.9
4,2,0,MaybeUninit,30404.0,16457.7
4,2,0,inline-always,30808.5,16838.6
4,2,0,asm-opt,30457.0,16472.6
4,3,0,ref+ref,30829.8,16851.0
4,3,0,ref+owned,30822.7,16871.0
4,3,0,MaybeUninit,30259.1,16381.7
4,3,0,inline-always,30633.2,16742.7
4,3,0,asm-opt,30464.2,16466.7
4,4,0,ref+ref,30670.4,16766.0
4,4,0,ref+owned,30763.2,16835.6
4,4,0,MaybeUninit,30244.7,16364.9
4,4,0,inline-always,30430.5,16628.1
4,4,0,asm-opt,30222.3,16338.1
4,5,0,ref+ref,30773.5,16817.1
4,5,0,ref+owned,30792.5,16852.9
4,5,0,MaybeUninit,30252.1,16376.4
4,5,0,inline-always,30491.9,16660.5
4,5,0,asm-opt,30165.6,16303.9
4,6,0,ref+ref,30700.2,16775.1
4,6,0,ref+owned,31013.6,16970.1
4,6,0,MaybeUninit,30177.2,16333.1
4,6,0,inline-always,30800.6,16828.2
4,6,0,asm-opt,30507.6,16494.9
4,7,0,ref+ref,30839.6,16848.7
4,7,0,ref+owned,30719.6,16810.6
4,7,0,MaybeUninit,30391.3,16447.0
4,7,0,inline-always,31087.9,16984.6
4,7,0,asm-opt,30755.6,16622.0
4,8,0,ref+ref,30840.9,16853.2
4,8,0,ref+owned,30995.3,16967.9
4,8,0,MaybeUninit,30436.1,16464.0
4,8,0,inline-always,30753.4,16796.0
4,8,0,asm-opt,30193.0,16321.0
4,9,0,ref+ref,30721.6,16779.3
4,9,0,ref+owned,30837.8,16867.9
4,9,0,MaybeUninit,30366.0,16436.1
4,9,0,inline-always,30818.0,16833.2
4,9,0,asm-opt,30524.0,16501.7
4,10,0,ref+ref,30943.3,16895.8
4,10,0,ref+owned,30925.1,16908.5
4,10,0,MaybeUninit,30593.8,16557.0
4,10,0,inline-always,30665.1,16745.4
4,10,0,asm-opt,30221.4,16326.5
4,1,100,ref+ref,32802.7,17922.9
4,1,100,ref+owned,33310.7,18224.8
4,1,100,MaybeUninit,34123.9,18457.5
4,1,100,inline-always,34234.6,18707.1
4,1,100,asm-opt,34182.2,18459.6
4,2,100,ref+ref,34468.9,18816.6
4,2,100,ref+owned,34671.3,18965.5
4,2,100,MaybeUninit,33804.1,18293.9
4,2,100,inline-always,34248.6,18704.1
4,2,100,asm-opt,34110.9,18427.1
4,3,100,ref+ref,32772.6,17900.9
4,3,100,ref+owned,32726.7,17891.0
4,3,100,MaybeUninit,34125.9,18458.3
4,3,100,inline-always,34414.2,18792.7
4,3,100,asm-opt,33752.5,18238.5
4,4,100,ref+ref,34455.3,18816.3
4,4,100,ref+owned,34299.2,18750.1
4,4,100,MaybeUninit,34111.1,18450.2
4,4,100,inline-always,34431.7,18803.1
4,4,100,asm-opt,33801.0,18256.1
4,5,100,ref+ref,32610.8,17818.9
4,5,100,ref+owned,33206.1,18159.9
4,5,100,MaybeUninit,33816.6,18296.1
4,5,100,inline-always,34458.9,18820.3
4,5,100,asm-opt,33531.1,18113.0
